keywords,location,_link,id,_type
" Bovid, Unidentifiable quadruped",Lit majeur WAS coude,https://wasrap.mmsh.fr/s/wasrap/item/739,Loc020W1b8p0_1,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_1,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_2,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_3,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_4,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_5,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_6,Bovid
" Bull, Cow, Bovid",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/910,Loc22W1b6p0_7,Bovid
" Man",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/911,Loc22W1b8p0_1,Human
" Man",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/911,Loc22W1b8p0_2,Human
" Bovid, Cow, Calf",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/912,Loc22W1b9p0_1,Bovid
" Bovid, Cow, Calf",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/912,Loc22W1b9p0_2,Bovid
" Bovid, Cow, Calf",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/912,Loc22W1b9p0_3,Bovid
" Bovid, Cow, Calf",5ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/912,Loc22W1b9p0_4,Bovid
" Undetermined quadruped",2ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/377,Loc158W3b0p0_1,Animal
" Undetermined quadruped",2ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/377,Loc158W3b0p0_2,Animal
" Undetermined quadruped",2ème diverticule Nord WAS,https://wasrap.mmsh.fr/s/wasrap/item/377,Loc158W3b0p0_3,Animal
" Bovid, Gazelle/Antelope, Undetermined quadruped",Lit majeur WAS coude,https://wasrap.mmsh.fr/s/wasrap/item/409,Loc299W4b0p0_1,Undetermined
" Bovid, Gazelle/Antelope, Undetermined quadruped",Lit majeur WAS coude,https://wasrap.mmsh.fr/s/wasrap/item/409,Loc299W4b0p0_2,Undetermined
" Bovid, Gazelle/Antelope, Undetermined quadruped",Lit majeur WAS coude,https://wasrap.mmsh.fr/s/wasrap/item/409,Loc299W4b0p0_3,Undetermined
" Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/487,Loc430W6b0p0_1,Bovid
" Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/487,Loc430W6b0p0_2,Bovid
" Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/487,Loc430W6b0p0_3,Bovid
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_1,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_2,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_3,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_4,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_5,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_6,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_7,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_8,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_9,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_10,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_11,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_12,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_13,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_14,Ibex
" Ibex, Dog, Bovid, Ostrich, Undetermined quadruped, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/914,Loc551W9b2p1_15,Ibex
